Name,English,Translation,Restrictions,Comment
__Priority,0,0,,Order of language importance. Allows other packs to supplement or replace sections
_Argument0,{0},{0},,single unlocalised argument
_Error,Error: {0},错误: {0},,General error prefix
_Language,English,Chinese,,Language name - in English
_LanguageNative,English,中文,,Language name in the native language
_LanguageCode,en,zh,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
_GameMaker2016,GameMaker Studio 2,GameMaker Studio 2,,IDE title
_MANUAL_LOCATION,http://zeus.yoyogames.com/GMS2_English-master.zip,http://zeus.yoyogames.com/GMS2_English-master.zip,,Location of language manual
$win_OpenInExplorer,Open In Explorer,在资源管理器中打开,,Windows version of Open In Explorer
$win_OpenProjectInExplorer,Open Project In Explorer,在资源管理器中打开项目,,Windows version of Open Project In Explorer
$win_ShowLogFileInExplorer,Open Log In Explorer,在资源管理器中打开日志,,Windows version of Show Log In Explorer
$win_explorer,explorer,资源管理器,,windows version of explorer
$mac_explorer,finder,查找器,,mac version of explorer
$mac_OpenInExplorer,Show In Finder,在查找器中显示,,Mac version of Open In Explorer
$mac_OpenProjectInExplorer,Show Project In Finder,在 查找器中显示项目,,Mac version of Open Project In Explorer
$mac_ShowLogFileInExplorer,Reveal Log In Finder,在查找器中显示日志,,Mac version of Show Log In Explorer
$win_ctrl,Ctrl,Ctrl,,Windows version of ctrl key
$mac_ctrl,Command,命令行,,Mac version of ctrl key
$win_FileMenuExit,Exit,退出,,Windows version of the Exit main menu entry
$mac_FileMenuExit,Quit,放弃,,Mac version of the Exit main menu entry
$win_IDEMenuHelpAbout,About,关于,,Windows version of the About main menu entry
$mac_IDEMenuHelpAbout,About GameMaker Studio 2,关于GameMaker Studio 2,,Windows version of the About main menu entry
$win_IDEMenuViews,Windows,窗口(?),,Windows version of the views menu entry
$mac_IDEMenuViews,Window,窗口,,Mac version of the views menu entry
$win_LaptopRHSKeys,Right Control and Right Alt,右 Ctrl 和右 Alt,,Windows version of laptop mode keys
$mac_LaptopRHSKeys,Right Command and Right Alt,右 Command 和右 Alt,,Mac version of laptop mode keys
Account_Menu_Login,Login,登录,,"Account menu ""Login"""
Account_Menu_Logout,Logout,登出,,"Acount menu ""Logout"""
